variant,receiver,receiver_label,median_rx_ms_frame,mean_rx_ms_frame,median_rx_ms_batch,mean_rx_ms_batch,max_gpu_peak_gib,points
deep_d96_b6_r2,baseline_ls_2dlmmse_lmmse,LS + 2D-LMMSE,4.8810675042432194,4.888019021742345,937.164960814698,938.4996521745303,8.867159242741764,7
deep_d96_b6_r2,baseline_ls_lmmse,LS + LMMSE,0.4984197964859049,1.61071208891006,95.69660092529377,309.25672107073154,8.867159242741764,7
deep_d96_b6_r2,perfect_csi_lmmse,Perfect CSI + LMMSE,0.5073993709453651,0.5098021760818424,97.4206792215101,97.88201780771374,8.867159242741764,7
deep_d96_b6_r2,upair5g_lmmse,UPAIR + LMMSE,1.0353920799843763,1.053150204987372,198.79527935700025,202.20483935757542,8.867159242741764,7
main_d96_b4_r2,baseline_ls_2dlmmse_lmmse,LS + 2D-LMMSE,4.690696812758688,4.715093202705001,900.6137880496681,905.2978949193603,9.258480124175549,7
main_d96_b4_r2,baseline_ls_lmmse,LS + LMMSE,0.5215767778281588,0.724444970125911,100.14274134300648,139.0934342641749,9.258480124175549,7
main_d96_b4_r2,perfect_csi_lmmse,Perfect CSI + LMMSE,0.516315224212414,0.5258370486389634,99.1325230487835,100.96071333868099,9.258480124175549,7
main_d96_b4_r2,upair5g_lmmse,UPAIR + LMMSE,0.9173598358908444,0.914482344770671,176.13308849104214,175.58061019596886,9.258480124175549,7
mlpwide_d96_b4_r4,baseline_ls_2dlmmse_lmmse,LS + 2D-LMMSE,4.905826637413055,4.909950256777321,941.9187143833066,942.7104493012457,8.705708372406662,7
mlpwide_d96_b4_r4,baseline_ls_lmmse,LS + LMMSE,0.4996664289744028,0.5000331093553835,95.93595436308532,96.00635699623362,8.705708372406662,7
mlpwide_d96_b4_r4,perfect_csi_lmmse,Perfect CSI + LMMSE,0.5268537500484238,0.51800590417516,101.15592000929738,99.45713360163074,8.705708372406662,7
mlpwide_d96_b4_r4,upair5g_lmmse,UPAIR + LMMSE,0.9080932650249453,0.9105054554873341,174.35390688478947,174.81704745356814,8.705708372406662,7
narrow_d64_b4_r2,baseline_ls_2dlmmse_lmmse,LS + 2D-LMMSE,4.542163332216935,4.552038707859619,872.0953597856516,873.9914319090468,9.257514256983995,7
narrow_d64_b4_r2,baseline_ls_lmmse,LS + LMMSE,0.5047730614933243,0.5040254488732254,96.91642780671827,96.77288618365927,9.257514256983995,7
narrow_d64_b4_r2,perfect_csi_lmmse,Perfect CSI + LMMSE,0.5202794435607052,0.5146117122809443,99.89365316365542,98.8054487579413,9.257514256983995,7
narrow_d64_b4_r2,upair5g_lmmse,UPAIR + LMMSE,0.7892161568415629,0.8017297940196911,151.5295021135801,153.93212045178072,9.257514256983995,7
shallow_d96_b2_r2,baseline_ls_2dlmmse_lmmse,LS + 2D-LMMSE,4.560545000845456,4.592914895007419,875.6246401623276,881.8396598414245,8.542465643025935,7
shallow_d96_b2_r2,baseline_ls_lmmse,LS + LMMSE,0.4825757832804811,0.4832519622401073,92.65455038985236,92.78437675010059,8.542465643025935,7
shallow_d96_b2_r2,perfect_csi_lmmse,Perfect CSI + LMMSE,0.5055603533884977,0.5018719554403099,97.06758785059156,96.35941544453951,8.542465643025935,7
shallow_d96_b2_r2,upair5g_lmmse,UPAIR + LMMSE,0.6860186139030182,0.6856729229723856,131.7155738693795,131.64920121069804,8.542465643025935,7
wide_d128_b4_r2,baseline_ls_2dlmmse_lmmse,LS + 2D-LMMSE,4.980169988229113,5.022085347301454,956.1926377399896,964.2403866818792,8.706868756562471,7
wide_d128_b4_r2,baseline_ls_lmmse,LS + LMMSE,0.5099264051295904,0.5115461644130719,97.90586978488136,98.2168635673098,8.706868756562471,7
wide_d128_b4_r2,perfect_csi_lmmse,Perfect CSI + LMMSE,0.5171764126654781,0.5153010196266025,99.2978712317718,98.93779576830767,8.706868756562471,7
wide_d128_b4_r2,upair5g_lmmse,UPAIR + LMMSE,0.990916341531071,0.995106916287555,190.25593757396564,191.06052792721053,8.706868756562471,7
wide_deep_d128_b6_r2,baseline_ls_2dlmmse_lmmse,LS + 2D-LMMSE,4.585250572464573,4.556581441649236,880.3681099131979,874.8636367966532,8.869681711308658,7
wide_deep_d128_b6_r2,baseline_ls_lmmse,LS + LMMSE,0.4861189083840145,0.4867769621915169,93.33483040973078,93.46117674077125,8.869681711308658,7
wide_deep_d128_b6_r2,perfect_csi_lmmse,Perfect CSI + LMMSE,0.503760385356927,0.5033570544343107,96.72199398853,96.64455445138763,8.869681711308658,7
wide_deep_d128_b6_r2,upair5g_lmmse,UPAIR + LMMSE,1.2051407706318666,1.2161961337331006,231.3870279613184,233.5096576767553,8.869681711308658,7
