variant,upair_log10_bler_auc,upair_min_positive_bler,upair_points,upair_positive_points,upair_zero_points
wide_deep_d128_b6_r2,-2.051629789592521,9.996801023672424e-05,7,7,0
wide_d128_b4_r2,-1.9787987469117423,0.0001166293452761,7,7,0
deep_d96_b6_r2,-1.8638984193065022,0.0001432874813393,7,7,0
main_d96_b4_r2,-1.822433495376785,0.0001966037534655,7,7,0
mlpwide_d96_b4_r4,-1.806907141341111,0.0001466197483471,7,7,0
shallow_d96_b2_r2,-1.731907494432732,0.0001932714864576,7,7,0
narrow_d64_b4_r2,-1.497768203043224,0.0005081300813008,7,7,0
