scenario,variant,receiver,receiver_label,num_users,ebno_db,ber,bler,nmse,block_errors,num_blocks,batches,stop,receiver_elapsed_s,receiver_ms_per_batch,receiver_ms_per_frame,point_time_s,gpu_mem_gib,gpu_peak_gib,source,source_kind,source_mtime,num_blocks_rank,source_priority,bler_plot,zero_bler_hidden
U3,deep_d96_b6_r2,baseline_ls_lmmse,LS + LMMSE,3,-1.0,0.0021200270879836,0.0367838541666666,,113,3072,16,,1.5311456148047,95.69660092529377,0.4984197964859049,,0.5112402141094208,8.866901151835918,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/csv_rx16/seed7/1dmrs/deep_d96_b6_r2_u3_curves.csv,csv,1779020150.0,3072,2,0.0367838541666666,False
U3,deep_d96_b6_r2,baseline_ls_lmmse,LS + LMMSE,3,0.0,0.0005478252782091,0.0113224637681159,,100,8832,46,,4.320804815273732,93.93053946247244,0.4892215597003773,,0.5112402141094208,8.867159242741764,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/csv_rx16/seed7/1dmrs/deep_d96_b6_r2_u3_curves.csv,csv,1779020150.0,8832,2,0.0113224637681159,False
U3,deep_d96_b6_r2,baseline_ls_lmmse,LS + LMMSE,3,0.5,0.0002582089496151,0.0052609427609427,,100,19008,99,,10.49921373394318,106.05266397922404,0.5523576248917919,,0.5112402141094208,8.866987350396812,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/csv_rx16/seed7/1dmrs/deep_d96_b6_r2_u3_curves.csv,csv,1779020150.0,19008,2,0.0052609427609427,False
U3,deep_d96_b6_r2,perfect_csi_lmmse,Perfect CSI + LMMSE,3,-5.0,0.0054103306361607,0.1106770833333333,0.0,340,3072,16,,1.421943909022957,88.87149431393482,0.4628723662184105,,0.5112402401864529,8.866300616413355,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/csv_rx16/seed7/1dmrs/deep_d96_b6_r2_u3_curves.csv,csv,1779020150.0,3072,2,0.1106770833333333,False
U3,deep_d96_b6_r2,perfect_csi_lmmse,Perfect CSI + LMMSE,3,-4.0,0.0009592824168019,0.0241477272727272,0.0,102,4224,22,,2.066624730359763,93.93748774362558,0.4892577486647166,,0.5112402141094208,8.866300590336323,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/csv_rx16/seed7/1dmrs/deep_d96_b6_r2_u3_curves.csv,csv,1779020150.0,4224,2,0.0241477272727272,False
U3,deep_d96_b6_r2,perfect_csi_lmmse,Perfect CSI + LMMSE,3,-3.0,0.0001716321934767,0.0043118169398907,0.0,101,23424,122,,12.79572262056172,104.88297229968622,0.5462654807275324,,0.5112402178347111,8.866300594061613,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/csv_rx16/seed7/1dmrs/deep_d96_b6_r2_u3_curves.csv,csv,1779020150.0,23424,2,0.0043118169398907,False
U3,deep_d96_b6_r2,perfect_csi_lmmse,Perfect CSI + LMMSE,3,-2.0,2.6757704009493512e-05,0.0005523153057617,0.0,100,181056,943,,99.73776038293728,105.7664479140374,0.5508669162189448,,0.5112402178347111,8.866300594061613,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/csv_rx16/seed7/1dmrs/deep_d96_b6_r2_u3_curves.csv,csv,1779020150.0,181056,2,0.0005523153057617,False
U3,deep_d96_b6_r2,perfect_csi_lmmse,Perfect CSI + LMMSE,3,-1.0,2.8777993423057003e-06,7.330987417359778e-05,0.0,22,300096,1563,,164.7679260931909,105.41773902315477,0.5490507240789311,,0.5112402141094208,8.866901151835918,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/csv_rx16/seed7/1dmrs/deep_d96_b6_r2_u3_curves.csv,csv,1779020150.0,300096,2,7.330987417359778e-05,False
U3,deep_d96_b6_r2,perfect_csi_lmmse,Perfect CSI + LMMSE,3,0.0,2.729781231910551e-07,9.996801023672424e-06,0.0,3,300096,1563,,152.2685216232203,97.4206792215101,0.5073993709453651,,0.5112402141094208,8.867159242741764,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/csv_rx16/seed7/1dmrs/deep_d96_b6_r2_u3_curves.csv,csv,1779020150.0,300096,2,9.996801023672424e-06,False
U3,deep_d96_b6_r2,perfect_csi_lmmse,Perfect CSI + LMMSE,3,0.5,0.0,0.0,0.0,0,300096,1563,,138.9152263677679,88.87730413804728,0.4629026257189962,,0.5112402141094208,8.866987350396812,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/csv_rx16/seed7/1dmrs/deep_d96_b6_r2_u3_curves.csv,csv,1779020150.0,300096,2,,True
U3,deep_d96_b6_r2,upair5g_lmmse,UPAIR + LMMSE,3,-5.0,0.033426775251116,0.5432942708333334,,1669,3072,16,,3.156218492658809,197.26365579117555,1.0274148739123727,,0.5112402401864529,8.866300616413355,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/csv_rx16/seed7/1dmrs/deep_d96_b6_r2_u3_curves.csv,csv,1779020150.0,3072,2,0.5432942708333334,False
U3,deep_d96_b6_r2,upair5g_lmmse,UPAIR + LMMSE,3,-4.0,0.0103818620954241,0.2054036458333333,,631,3072,16,,3.1643545625265688,197.7721601579105,1.030063334155784,,0.5112402141094208,8.866300590336323,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/csv_rx16/seed7/1dmrs/deep_d96_b6_r2_u3_curves.csv,csv,1779020150.0,3072,2,0.2054036458333333,False
U3,deep_d96_b6_r2,upair5g_lmmse,UPAIR + LMMSE,3,-3.0,0.002467782156808,0.052734375,,162,3072,16,,3.180724469712004,198.79527935700025,1.0353920799843763,,0.5112402178347111,8.866300594061613,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/csv_rx16/seed7/1dmrs/deep_d96_b6_r2_u3_curves.csv,csv,1779020150.0,3072,2,0.052734375,False
U3,deep_d96_b6_r2,upair5g_lmmse,UPAIR + LMMSE,3,-2.0,0.0003604395859906,0.009579613095238,,103,10752,56,,11.787772716023028,210.49594135755407,1.0963330279039274,,0.5112402178347111,8.866300594061613,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/csv_rx16/seed7/1dmrs/deep_d96_b6_r2_u3_curves.csv,csv,1779020150.0,10752,2,0.009579613095238,False
U3,deep_d96_b6_r2,upair5g_lmmse,UPAIR + LMMSE,3,-1.0,0.0001044745917792,0.002346096096096,,100,42624,222,,46.56761656375602,209.7640385754776,1.0925210342472789,,0.5112402141094208,8.866901151835918,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/csv_rx16/seed7/1dmrs/deep_d96_b6_r2_u3_curves.csv,csv,1779020150.0,42624,2,0.002346096096096,False
U3,deep_d96_b6_r2,upair5g_lmmse,UPAIR + LMMSE,3,0.0,1.497876773911353e-05,0.0004050025920165,,100,246912,1286,,267.8991256207228,208.3196933287113,1.0849984027537047,,0.5112402141094208,8.867159242741764,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/csv_rx16/seed7/1dmrs/deep_d96_b6_r2_u3_curves.csv,csv,1779020150.0,246912,2,0.0004050025920165,False
U3,deep_d96_b6_r2,upair5g_lmmse,UPAIR + LMMSE,3,0.5,3.843264203074064e-06,0.0001432874813393,,43,300096,1563,,301.69511613971554,193.02310693519868,1.0053286819541598,,0.5112402141094208,8.866987350396812,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/csv_rx16/seed7/1dmrs/deep_d96_b6_r2_u3_curves.csv,csv,1779020150.0,300096,2,0.0001432874813393,False
U3,main_d96_b4_r2,baseline_ls_2dlmmse_lmmse,LS + 2D-LMMSE,3,-5.0,0.0361606416248139,0.5608723958333334,,1723,3072,16,,15.132977806497363,945.8111129060852,4.926099546385861,,0.3488085232675075,9.25757983699441,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/eval_runs_rx16/seed7/1dmrs/main_d96_b4_r2_u3/metrics/curves.csv,csv,1779015582.0,3072,2,0.5608723958333334,False
U3,main_d96_b4_r2,baseline_ls_2dlmmse_lmmse,LS + 2D-LMMSE,3,-4.0,0.0134083339146205,0.2350260416666666,,722,3072,16,,15.37040185299702,960.6501158123136,5.0033860198558,,0.3488084971904754,8.703868873417377,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/eval_runs_rx16/seed7/1dmrs/main_d96_b4_r2_u3/metrics/curves.csv,csv,1779015582.0,3072,2,0.2350260416666666,False
U3,main_d96_b4_r2,baseline_ls_2dlmmse_lmmse,LS + 2D-LMMSE,3,-3.0,0.0039667038690476,0.0768229166666666,,236,3072,16,,14.89425205043517,930.8907531521982,4.848389339334365,,0.3488085009157657,8.703868877142668,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/eval_runs_rx16/seed7/1dmrs/main_d96_b4_r2_u3/metrics/curves.csv,csv,1779015582.0,3072,2,0.0768229166666666,False
U3,main_d96_b4_r2,baseline_ls_2dlmmse_lmmse,LS + 2D-LMMSE,3,-2.0,0.0006605747767857,0.0148809523809523,,100,6720,35,,31.521482581738383,900.6137880496681,4.690696812758688,,0.3488085009157657,8.704984067939222,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/eval_runs_rx16/seed7/1dmrs/main_d96_b4_r2_u3/metrics/curves.csv,csv,1779015582.0,6720,2,0.0148809523809523,False
U3,main_d96_b4_r2,baseline_ls_2dlmmse_lmmse,LS + 2D-LMMSE,3,-1.0,0.000181831961673,0.0040553435114503,,102,25152,131,,113.80433524376711,868.7353835402071,4.524663455938579,,0.3488084971904754,9.257579810917376,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/eval_runs_rx16/seed7/1dmrs/main_d96_b4_r2_u3/metrics/curves.csv,csv,1779015582.0,25152,2,0.0040553435114503,False
U3,main_d96_b4_r2,baseline_ls_2dlmmse_lmmse,LS + 2D-LMMSE,3,0.0,3.064006669114048e-05,0.0007724547234459,,101,130752,681,,591.4621745296754,868.5200800729448,4.523542083713254,,0.3488084971904754,9.257579810917376,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/eval_runs_rx16/seed7/1dmrs/main_d96_b4_r2_u3/metrics/curves.csv,csv,1779015582.0,130752,2,0.0007724547234459,False
U3,main_d96_b4_r2,baseline_ls_2dlmmse_lmmse,LS + 2D-LMMSE,3,0.5,1.668880636796021e-05,0.0004136881122584,,100,241728,1259,,1085.0868149057496,861.8640309021046,4.488875160948461,,0.3488084971904754,9.258480124175549,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/eval_runs_rx16/seed7/1dmrs/main_d96_b4_r2_u3/metrics/curves.csv,csv,1779015582.0,241728,2,0.0004136881122584,False
U3,main_d96_b4_r2,baseline_ls_lmmse,LS + LMMSE,3,-5.0,0.1045430501302083,0.99609375,,3060,3072,16,,5.981742858653888,373.858928665868,1.947181920134729,,0.3488085232675075,9.25757983699441,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/eval_runs_rx16/seed7/1dmrs/main_d96_b4_r2_u3/metrics/curves.csv,csv,1779015582.0,3072,2,0.99609375,False
U3,main_d96_b4_r2,baseline_ls_lmmse,LS + LMMSE,3,-4.0,0.0608248756045386,0.7783203125,,2391,3072,16,,1.6587574037257582,103.67233773285987,0.5399600923586453,,0.3488084971904754,8.703868873417377,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/eval_runs_rx16/seed7/1dmrs/main_d96_b4_r2_u3/metrics/curves.csv,csv,1779015582.0,3072,2,0.7783203125,False
U3,main_d96_b4_r2,baseline_ls_lmmse,LS + LMMSE,3,-3.0,0.0246773129417782,0.3697916666666667,,1136,3072,16,,1.602283861488104,100.14274134300648,0.5215767778281588,,0.3488085009157657,8.703868877142668,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/eval_runs_rx16/seed7/1dmrs/main_d96_b4_r2_u3/metrics/curves.csv,csv,1779015582.0,3072,2,0.3697916666666667,False
U3,main_d96_b4_r2,baseline_ls_lmmse,LS + LMMSE,3,-2.0,0.0072816394624255,0.1266276041666666,,389,3072,16,,1.5695543056353929,98.09714410221204,0.5109226255323543,,0.3488085009157657,8.704984067939222,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/eval_runs_rx16/seed7/1dmrs/main_d96_b4_r2_u3/metrics/curves.csv,csv,1779015582.0,3072,2,0.1266276041666666,False
U3,main_d96_b4_r2,baseline_ls_lmmse,LS + LMMSE,3,-1.0,0.002269781203497,0.041015625,,126,3072,16,,1.585579206701368,99.0987004188355,0.5161390646814349,,0.3488084971904754,9.257579810917376,/lustre07/scratch/rsadve1/Extended_UPAIR_Narval_b32m16/TWC_plots_comprehensive/eval_runs_rx16/seed7/1dmrs/main_d96_b4_r2_u3/metrics/curves.csv,csv,1779015582.0,3072,2,0.041015625,False
