curve,variant,ebno_db,bler,block_errors,num_blocks
2D-LMMSE aggregate,common_baseline,-5.0,0.17082868303571427,2449.0,14336.0
2D-LMMSE aggregate,common_baseline,-4.0,0.03804580479452055,711.0,18688.0
2D-LMMSE aggregate,common_baseline,-3.0,0.008357833839150227,705.0,84352.0
2D-LMMSE aggregate,common_baseline,-2.0,0.001414418619624002,703.0,497024.0
2D-LMMSE aggregate,common_baseline,-1.0,0.00022433035714285713,402.0,1792000.0
UPAIR,main_d96_b4_r2,-5.0,0.109375,224.0,2048.0
UPAIR,main_d96_b4_r2,-4.0,0.022321428571428572,100.0,4480.0
UPAIR,main_d96_b4_r2,-3.0,0.003848522167487685,100.0,25984.0
UPAIR,main_d96_b4_r2,-2.0,0.0004950887198986059,100.0,201984.0
UPAIR,main_d96_b4_r2,-1.0,7.8125e-05,20.0,256000.0
UPAIR,shallow_d96_b2_r2,-5.0,0.138671875,284.0,2048.0
UPAIR,shallow_d96_b2_r2,-4.0,0.022352430555555556,103.0,4608.0
UPAIR,shallow_d96_b2_r2,-3.0,0.004944620253164557,100.0,20224.0
UPAIR,shallow_d96_b2_r2,-2.0,0.0007253946146703806,100.0,137856.0
UPAIR,shallow_d96_b2_r2,-1.0,9.375e-05,24.0,256000.0
UPAIR,deep_d96_b6_r2,-5.0,0.1015625,208.0,2048.0
UPAIR,deep_d96_b6_r2,-4.0,0.01835029069767442,101.0,5504.0
UPAIR,deep_d96_b6_r2,-3.0,0.003456858407079646,100.0,28928.0
UPAIR,deep_d96_b6_r2,-2.0,0.00043475236505286587,100.0,230016.0
UPAIR,deep_d96_b6_r2,-1.0,5.46875e-05,14.0,256000.0
UPAIR,narrow_d64_b4_r2,-5.0,0.2109375,432.0,2048.0
UPAIR,narrow_d64_b4_r2,-4.0,0.05224609375,107.0,2048.0
UPAIR,narrow_d64_b4_r2,-3.0,0.0071790540540540545,102.0,14208.0
UPAIR,narrow_d64_b4_r2,-2.0,0.0013259151414309483,102.0,76928.0
UPAIR,narrow_d64_b4_r2,-1.0,0.00021875,56.0,256000.0
UPAIR,wide_d128_b4_r2,-5.0,0.10791015625,221.0,2048.0
UPAIR,wide_d128_b4_r2,-4.0,0.023674242424242424,100.0,4224.0
UPAIR,wide_d128_b4_r2,-3.0,0.003268828451882845,100.0,30592.0
UPAIR,wide_d128_b4_r2,-2.0,0.0005013103557814485,101.0,201472.0
UPAIR,wide_d128_b4_r2,-1.0,5.46875e-05,14.0,256000.0
UPAIR,wide_deep_d128_b6_r2,-5.0,0.09765625,200.0,2048.0
UPAIR,wide_deep_d128_b6_r2,-4.0,0.017361111111111112,100.0,5760.0
UPAIR,wide_deep_d128_b6_r2,-3.0,0.0030048076923076925,100.0,33280.0
UPAIR,wide_deep_d128_b6_r2,-2.0,0.00042878704720087816,100.0,233216.0
UPAIR,wide_deep_d128_b6_r2,-1.0,4.6875e-05,12.0,256000.0
UPAIR,mlpwide_d96_b4_r4,-5.0,0.1171875,240.0,2048.0
UPAIR,mlpwide_d96_b4_r4,-4.0,0.021326013513513514,101.0,4736.0
UPAIR,mlpwide_d96_b4_r4,-3.0,0.002800179211469534,100.0,35712.0
UPAIR,mlpwide_d96_b4_r4,-2.0,0.00045395119116792564,100.0,220288.0
UPAIR,mlpwide_d96_b4_r4,-1.0,5.078125e-05,13.0,256000.0
