Rank,UPAIR variant,"2D-LMMSE
SNR [dB]","UPAIR
SNR [dB]","Gain
[dB]"
1,Wide-deep d128-b6-r2,-1.81,-2.43,+0.62
2,MLP-wide d96-b4-r4,-1.81,-2.43,+0.62
3,Deep d96-b6-r2,-1.81,-2.40,+0.59
4,Wide d128-b4-r2,-1.81,-2.37,+0.56
5,Main d96-b4-r2,-1.81,-2.34,+0.53
6,Shallow d96-b2-r2,-1.81,-2.17,+0.36
7,Narrow d64-b4-r2,-1.81,-1.84,+0.03
