variant,receiver,receiver_label,median_rx_ms_frame,mean_rx_ms_frame,median_rx_ms_batch,mean_rx_ms_batch,max_gpu_peak_gib,points
deep_d96_b6_r2,baseline_ls_2dlmmse_lmmse,LS + 2D-LMMSE,4.705345505379159,4.721246585726212,602.2842246885324,604.3195629729552,6.081499861553311,5
deep_d96_b6_r2,baseline_ls_lmmse,LS + LMMSE,0.6488337990595028,0.6606234028081182,83.05072627961636,84.55979555943912,6.081499861553311,5
deep_d96_b6_r2,perfect_csi_lmmse,Perfect CSI + LMMSE,0.6557250532337506,0.6479084612509277,83.93280681392008,82.93228304011875,6.081499861553311,5
deep_d96_b6_r2,upair5g_lmmse,UPAIR + LMMSE,1.505193822722081,1.4884781612861813,192.6648093084264,190.52520464463123,6.081499861553311,5
main_d96_b4_r2,baseline_ls_2dlmmse_lmmse,LS + 2D-LMMSE,4.652119377439433,4.695056861075534,595.4712803122475,600.9672782176683,5.918709335848689,5
main_d96_b4_r2,baseline_ls_lmmse,LS + LMMSE,0.6219690163788982,0.634100954447898,79.61203409649897,81.16492216933095,5.918709335848689,5
main_d96_b4_r2,perfect_csi_lmmse,Perfect CSI + LMMSE,0.6489079999264504,0.6392664318791601,83.06022399058565,81.8261032805325,5.918709335848689,5
main_d96_b4_r2,upair5g_lmmse,UPAIR + LMMSE,1.208503653573903,1.1926579299989528,154.68846765745965,152.660215039866,5.918709335848689,5
mlpwide_d96_b4_r4,baseline_ls_2dlmmse_lmmse,LS + 2D-LMMSE,4.623128182332729,4.694040320391695,591.7604073385893,600.8371610101369,5.91983253788203,5
mlpwide_d96_b4_r4,baseline_ls_lmmse,LS + LMMSE,0.6811902603658382,0.7146182768089757,87.19235332682729,91.47113943154889,5.91983253788203,5
mlpwide_d96_b4_r4,perfect_csi_lmmse,Perfect CSI + LMMSE,0.6756102976032707,0.670426704462821,86.47811809321865,85.8146181712411,5.91983253788203,5
mlpwide_d96_b4_r4,upair5g_lmmse,UPAIR + LMMSE,1.3043059457354624,1.4601861068720579,166.9511610541392,186.9038216796234,5.91983253788203,5
narrow_d64_b4_r2,baseline_ls_2dlmmse_lmmse,LS + 2D-LMMSE,4.903872979525659,4.83644595884247,627.6957413792843,619.0650827318361,5.917553009465337,5
narrow_d64_b4_r2,baseline_ls_lmmse,LS + LMMSE,0.6657143194388482,0.6898585999851106,85.21143288817257,88.30190079809415,5.917553009465337,5
narrow_d64_b4_r2,perfect_csi_lmmse,Perfect CSI + LMMSE,0.6651417096826605,0.6864888288281626,85.13813883938055,87.87057009000482,5.917553009465337,5
narrow_d64_b4_r2,upair5g_lmmse,UPAIR + LMMSE,1.0869810421354489,1.0826245672682355,139.13357339333743,138.57594461033415,5.917553009465337,5
shallow_d96_b2_r2,baseline_ls_2dlmmse_lmmse,LS + 2D-LMMSE,4.652693809169178,4.704271688051743,595.5448075736548,602.1467760706231,5.756362026557326,5
shallow_d96_b2_r2,baseline_ls_lmmse,LS + LMMSE,0.7354706443720715,0.7253194076730338,94.14024247962516,92.84088418214833,5.756362026557326,5
shallow_d96_b2_r2,perfect_csi_lmmse,Perfect CSI + LMMSE,0.6661400049152398,0.7062129217306121,85.2659206291507,90.39525398151835,5.756362026557326,5
shallow_d96_b2_r2,upair5g_lmmse,UPAIR + LMMSE,0.9569134577828616,1.2251995104495768,122.4849225962063,156.82553733754582,5.756362026557326,5
wide_d128_b4_r2,baseline_ls_2dlmmse_lmmse,LS + 2D-LMMSE,4.748925598322227,4.785148332599137,607.8624765852451,612.4989865726895,5.920507261529565,5
wide_d128_b4_r2,baseline_ls_lmmse,LS + LMMSE,0.6470154040830811,0.6434005410332816,82.81797172263438,82.35526925226004,5.920507261529565,5
wide_d128_b4_r2,perfect_csi_lmmse,Perfect CSI + LMMSE,0.6562842167904819,0.6502991811745085,84.00437974918168,83.23829519033708,5.920507261529565,5
wide_d128_b4_r2,upair5g_lmmse,UPAIR + LMMSE,1.3778406307458433,1.4023341784176329,176.36360073546794,179.498774837457,5.920507261529565,5
wide_deep_d128_b6_r2,baseline_ls_2dlmmse_lmmse,LS + 2D-LMMSE,4.606938818023596,4.681404775074546,589.6881687070203,599.219811209542,6.083917676471174,5
wide_deep_d128_b6_r2,baseline_ls_lmmse,LS + LMMSE,0.6362860069657472,0.6389052805983775,81.44460889161564,81.77987591659232,6.083917676471174,5
wide_deep_d128_b6_r2,perfect_csi_lmmse,Perfect CSI + LMMSE,0.6508100279684093,0.6470092347134673,83.30368357995638,82.81718204332381,6.083917676471174,5
wide_deep_d128_b6_r2,upair5g_lmmse,UPAIR + LMMSE,1.7425825011337617,1.6961649407346404,223.0505601451215,217.10911241403397,6.083917676471174,5
